Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP1,3/10/2014,Getafe,Cordoba,1,1,D,0,0,D,18,10,5,3,12,11,8,3,1,2,0,0,1.95,3.2,4.2,2.05,3.2,3.75,2,3.3,3.6,2,3.25,4,2.05,3.26,4.42,2.05,3.1,4,,,,2.05,3.25,4.33,45,2.05,2,3.4,3.2,4.51,4.14,35,2.8,2.63,1.54,1.46,24,-0.5,2.03,2,1.94,1.87
SP1,4/10/2014,Malaga,Granada,2,1,H,0,1,A,17,8,3,5,12,15,3,3,1,4,1,0,1.8,3.5,4.5,1.83,3.25,4.6,1.85,3.45,4,1.85,3.4,4.33,1.85,3.54,5.04,1.85,3.3,4.5,,,,1.85,3.5,5,45,1.87,1.83,3.6,3.4,5.15,4.65,35,2.53,2.37,1.65,1.56,23,-0.75,2.14,2.09,1.83,1.79
SP1,5/10/2014,Real Madrid,Ath Bilbao,5,0,H,2,0,H,19,6,14,5,9,10,8,7,1,2,0,0,1.2,6.5,15,1.22,6,11.5,1.22,5.5,12,1.2,7,13,1.2,8.19,15.69,1.22,5.5,15,,,,1.22,7,15,45,1.23,1.2,8.2,6.76,17,13.48,35,1.35,1.32,3.55,3.25,26,-2,1.98,1.93,2.02,1.94
SP1,5/10/2014,Sevilla,La Coruna,4,1,H,2,1,H,16,7,10,5,11,10,9,2,2,2,0,0,1.4,4.4,8,1.42,4.25,7.5,1.4,4.4,7.3,1.44,4.33,7,1.41,4.91,9.08,1.44,4,8,,,,1.4,4.8,9,45,1.45,1.4,5.1,4.6,9.5,8.12,42,1.81,1.73,2.22,2.09,25,-1.5,2.22,2.16,1.8,1.74
SP1,4/10/2014,Valencia,Ath Madrid,3,1,H,3,1,H,6,19,3,5,23,14,1,6,4,0,0,1,2.75,3.2,2.6,2.75,3.3,2.65,2.6,3.2,2.6,2.8,3.3,2.5,2.85,3.25,2.76,2.7,3.1,2.7,,,,2.8,3.25,2.8,44,2.88,2.74,3.4,3.22,2.8,2.63,38,2.35,2.22,1.72,1.64,25,0,2,1.96,1.96,1.89
SP1,4/10/2014,Vallecano,Barcelona,0,2,A,0,2,A,14,18,4,7,19,7,6,7,2,2,2,0,9,6.5,1.25,8.75,5.5,1.3,9,5,1.3,10,6,1.28,10.9,6.3,1.3,10,5,1.3,,,,11.5,6.5,1.29,44,12,10.3,6.7,5.96,1.31,1.27,35,1.41,1.38,3.25,2.94,25,1.5,2.21,2.14,1.77,1.74
SP1,17/10/14,Granada,Vallecano,0,1,A,0,0,D,9,8,1,2,17,13,3,6,4,5,0,0,2.2,3.3,3.3,2.25,3.3,3.1,2.3,3.2,3,2.25,3.3,3.4,2.35,3.39,3.34,2.15,3.25,3.5,,,,2.38,3.4,3.25,46,2.38,2.26,3.4,3.3,3.5,3.29,44,2.15,2.06,1.82,1.75,24,-0.25,2.04,1.98,1.93,1.89
SP1,18/10/14,Ath Bilbao,Celta,1,1,D,1,0,H,13,4,4,1,13,16,9,2,3,3,0,0,1.91,3.6,3.75,2,3.4,3.6,1.9,3.45,3.8,1.9,3.6,4,2.01,3.61,4.08,2,3.3,3.8,,,,2,3.6,4,46,2.02,1.95,3.63,3.5,4.33,3.9,44,1.93,1.84,2.08,1.94,24,-0.5,2,1.96,1.95,1.91
SP1,18/10/14,Barcelona,Eibar,3,0,H,0,0,D,27,4,12,2,9,13,12,3,2,2,0,0,1.1,9,21,1.12,7.75,23,1.1,8,20,1.09,10,26,1.1,12.1,33.68,1.12,8,21,,,,1.11,10,34,46,1.12,1.1,13,9.71,36,26.31,36,1.37,1.33,3.55,3.25,28,-2.5,1.91,1.87,2.08,1.99
SP1,18/10/14,Cordoba,Malaga,1,2,A,0,2,A,8,8,2,4,16,21,6,13,2,3,0,0,3.25,3,2.38,2.95,3.2,2.4,2.65,3.3,2.5,3,3.1,2.5,3.43,3.13,2.45,3.1,3.1,2.4,,,,3.4,3.1,2.45,46,3.52,3.22,3.3,3.1,2.5,2.38,37,2.79,2.56,1.56,1.49,24,0.25,1.91,1.85,2.08,2.02
